Keywords,Total_Items,Prefixes
Laptop,11,"Dell,Acer,Asus,Lenovo,,HP,Apple, Razer,Gaming,MSI,Samsung"
Home Audio Speaker,11,"Vizio, ,Bowers & Wilkins, Bose ,JBL,Klipsch,Sony,SoundLink,Logitech,Onkyo,Samsung"
Pendrive,12,"Patriot,Kingston,Sandisk,,Verbatim,Samsung,Transcend,HP,Sony,Corsair,Moser Baer,Toshiba"
Wireless Mouse,8,"HP,Sony,,Samsung,Logitech,Black,Red,Blue"
Router,9,"Cisco,Netgear,Asus,,TP,Linksys,Wi-fi,Netgear, Multi Antenna"
Headphone,11,"Sennheiser,Bose, JBL,,Audio-Technica,Sony,Phillips,Apple,Beyerdynamic,Grado,Panasonic"
Mobile,10,"Samsung,Apple,,OnePlus,Huawei,Pixel,LG,ZTE,Lenovo,Motorola"
Camera,11,"Canon,,Nikon,Sony,Casio,Olympus,Pentax,Panasonic,Lumix,GoPro,Fujifilm"
Smart watch,7,"Apple, Samsung Gear,Motorola,Xiaomi,Pebble,Garmin,Fossil"
Printer,10,"HP,Canon,,Epson,Samsung,Dell,Panasonic,Kodak,Inkjet,Deskjet"
Memory Card,9,"SanDisk,Polaroid,SD,,Silicon Power,Samsung,Transcend,Lexar,Micro SD"
Power bank,8,"Anker,Mophie,AUKEY,,iMuto,Xiaomi ,Poweradd ,High Capacity"
Gaming Console,7,"Xbox One,Xbox 360,,Playstation Pro,Wii,Playstation Slim,Nintendo"
USB Cable,9,"Apple, Samsung,OnePlus,,Amazon Basics,Syncwire,Anker,USB-C,Micro Usb"
Tablet OR Ereader,7,"Ipad, Galaxy Tab,,Kindle,Kindle Fire,Kobo,Barnes & Noble"
Bluetooth Speaker,6,"JBL,Sony,Bose,,Anker,UE Boom"
Earphone,8,"Sennheiser,Bose, JBL,Sony,,Phillips,Audio Technica,Apple Airpods"
